I'm the processus 0 on 4 processes.
Send task row 244 to slave 2
Send task row 245 to slave 3
Send task row 246 to slave 1
Send task row 247 to slave 2
Send task row 248 to slave 3
Send task row 249 to slave 2
Send task row 250 to slave 3
Send task row 251 to slave 2
Send task row 252 to slave 3
Send task row 253 to slave 1
Send task row 254 to slave 2
Send task row 255 to slave 2
Send task row 256 to slave 3
Send task row 257 to slave 1
Send task row 258 to slave 2
Send task row 259 to slave 3
Send task row 260 to slave 2
Send task row 261 to slave 3
Send task row 262 to slave 1
Send task row 263 to slave 2
Send task row 264 to slave 3
Send task row 265 to slave 3
Send task row 266 to slave 3
Send task row 267 to slave 3
Send task row 268 to slave 2
Send task row 269 to slave 3
Send task row 270 to slave 2
Send task row 271 to slave 1
Send task row 272 to slave 2
Send task row 273 to slave 3
Send task row 274 to slave 1
Send task row 275 to slave 2
Send task row 276 to slave 3
Send task row 277 to slave 1
Send task row 278 to slave 2
Send task row 279 to slave 2
Send task row 280 to slave 1
Send task row 281 to slave 2
Send task row 282 to slave 3
Send task row 283 to slave 3
Send task row 284 to slave 2
Send task row 285 to slave 1
Send task row 286 to slave 3
Send task row 287 to slave 2
Send task row 288 to slave 1
Send task row 289 to slave 2
Send task row 290 to slave 3
Send task row 291 to slave 1
Send task row 292 to slave 2
Send task row 293 to slave 3
Send task row 294 to slave 1
Send task row 295 to slave 2
Send task row 296 to slave 3
Send task row 297 to slave 1
Send task row 298 to slave 2
Send task row 299 to slave 3
Send task row 300 to slave 1
Send task row 301 to slave 2
Send task row 302 to slave 3
Send task row 303 to slave 1
Send task row 304 to slave 2
Send task row 305 to slave 3
Send task row 306 to slave 1
Send task row 307 to slave 3
Send task row 308 to slave 2
Send task row 309 to slave 1
Send task row 310 to slave 2
Send task row 311 to slave 3
Send task row 312 to slave 1
Send task row 313 to slave 2
Send task row 314 to slave 3
Send task row 315 to slave 2
Send task row 316 to slave 3
Send task row 317 to slave 3
Send task row 318 to slave 3
Send task row 319 to slave 2
Send task row 320 to slave 1
Send task row 321 to slave 3
Send task row 322 to slave 1
Send task row 323 to slave 3
Send task row 324 to slave 2
Send task row 325 to slave 2
Send task row 326 to slave 1
Send task row 327 to slave 3
Send task row 328 to slave 1
Send task row 329 to slave 2
Send task row 330 to slave 3
Send task row 331 to slave 2
Send task row 332 to slave 2
Send task row 333 to slave 1
Send task row 334 to slave 2
Send task row 335 to slave 2
Send task row 336 to slave 2
Send task row 337 to slave 3
Send task row 338 to slave 1
Send task row 339 to slave 2
Send task row 340 to slave 3
Send task row 341 to slave 1
Send task row 342 to slave 3
Send task row 343 to slave 1
Send task row 344 to slave 1
Send task row 345 to slave 2
Send task row 346 to slave 1
Send task row 347 to slave 2
Send task row 348 to slave 1
Send task row 349 to slave 3
Send task row 350 to slave 3
Send task row 351 to slave 2
Send task row 352 to slave 1
Send task row 353 to slave 2
Send task row 354 to slave 3
Send task row 355 to slave 1
Send task row 356 to slave 2
Send task row 357 to slave 3
Send task row 358 to slave 1
Send task row 359 to slave 2
Send task row 360 to slave 3
Send task row 361 to slave 1
Send task row 362 to slave 2
Send task row 363 to slave 3
Send task row 364 to slave 1
Send task row 365 to slave 2
Send task row 366 to slave 3
Send task row 367 to slave 1
Send task row 368 to slave 2
Send task row 369 to slave 3
Send task row 370 to slave 1
Send task row 371 to slave 2
Send task row 372 to slave 3
Send task row 373 to slave 2
Send task row 374 to slave 1
Send task row 375 to slave 3
Send task row 376 to slave 1
Send task row 377 to slave 2
Send task row 378 to slave 2
Send task row 379 to slave 2
Send task row 380 to slave 2
Send task row 381 to slave 1
Send task row 382 to slave 1
Send task row 383 to slave 1
Send task row 384 to slave 2
Send task row 385 to slave 1
Send task row 386 to slave 3
Send task row 387 to slave 2
Send task row 388 to slave 1
Send task row 389 to slave 3
Send task row 390 to slave 2
Send task row 391 to slave 1
Send task row 392 to slave 3
Send task row 393 to slave 1
Send task row 394 to slave 2
Send task row 395 to slave 3
Send task row 396 to slave 3
Send task row 397 to slave 2
Send task row 398 to slave 3
Send task row 399 to slave 1
Send task row 400 to slave 2
Send task row 401 to slave 2
Send task row 402 to slave 3
Send task row 403 to slave 3
Send task row 404 to slave 2
Send task row 405 to slave 2
Send task row 406 to slave 1
Send task row 407 to slave 1
Send task row 408 to slave 3
Send task row 409 to slave 2
Send task row 410 to slave 1
Send task row 411 to slave 3
Send task row 412 to slave 2
Send task row 413 to slave 1
Send task row 414 to slave 3
Send task row 415 to slave 2
Send task row 416 to slave 1
Send task row 417 to slave 3
Send task row 418 to slave 2
Send task row 419 to slave 1
Send task row 420 to slave 2
Send task row 421 to slave 2
Send task row 422 to slave 1
Send task row 423 to slave 1
Send task row 424 to slave 2
Send task row 425 to slave 1
Send task row 426 to slave 3
Send task row 427 to slave 2
Send task row 428 to slave 1
Send task row 429 to slave 3
Send task row 430 to slave 1
Send task row 431 to slave 2
Send task row 432 to slave 3
Send task row 433 to slave 1
Send task row 434 to slave 2
Send task row 435 to slave 3
Send task row 436 to slave 1
Send task row 437 to slave 3
Send task row 438 to slave 2
Send task row 439 to slave 1
Send task row 440 to slave 3
Send task row 441 to slave 2
Send task row 442 to slave 1
Send task row 443 to slave 3
Send task row 444 to slave 2
Send task row 445 to slave 1
Send task row 446 to slave 3
Send task row 447 to slave 2
Send task row 448 to slave 1
Send task row 449 to slave 3
Send task row 450 to slave 2
Send task row 451 to slave 1
Send task row 452 to slave 3
Send task row 453 to slave 2
Send task row 454 to slave 1
Send task row 455 to slave 3
Send task row 456 to slave 2
Send task row 457 to slave 1
Send task row 458 to slave 3
Send task row 459 to slave 1
Send task row 460 to slave 3
Send task row 461 to slave 2
Send task row 462 to slave 1
Send task row 463 to slave 3
Send task row 464 to slave 3
Send task row 465 to slave 1
Send task row 466 to slave 2
Send task row 467 to slave 3
Send task row 468 to slave 1
Send task row 469 to slave 2
Send task row 470 to slave 1
Send task row 471 to slave 3
Send task row 472 to slave 2
Send task row 473 to slave 1
Send task row 474 to slave 3
Send task row 475 to slave 2
Send task row 476 to slave 1
Send task row 477 to slave 3
Send task row 478 to slave 1
Send task row 479 to slave 3
Send task row 480 to slave 2
Send task row 481 to slave 1
Send task row 482 to slave 3
Send task row 483 to slave 1
Send task row 484 to slave 2
Send task row 485 to slave 3
Send task row 486 to slave 1
Send task row 487 to slave 2
Send task row 488 to slave 3
Send task row 489 to slave 1
Send task row 490 to slave 2
Send task row 491 to slave 3
Send task row 492 to slave 1
Send task row 493 to slave 2
Send task row 494 to slave 3
Send task row 495 to slave 1
Send task row 496 to slave 2
Send task row 497 to slave 3
